noise_level,mean_target_signal_auc,sem_target_signal_auc,mean_target_baseline_auc,sem_target_baseline_auc,mean_other_signal_auc,sem_other_signal_auc,mean_other_baseline_auc,sem_other_baseline_auc,mean_accuracy,sem_accuracy,mean_snr,sem_snr,mean_preference_index,sem_preference_index,mean_target_signal_norm,mean_other_signal_norm
0.0,4430186.192572237,0.0,34.39477303988995,0.0,547985.9594646276,0.0,22.949139579349914,0.0,0.8899222560552845,0.0,128804.05366926684,0.0,-0.7798445121105689,0.0,1.0,0.1236936633461128
0.01,5105742.748280622,0.0,34.39477303988995,0.0,446259.8114722753,0.0,22.949139579349914,0.0,0.9196218289401983,0.0,148445.31005798894,0.0,-0.8392436578803966,0.0,1.1524894273836708,0.10073161534846681
0.05,4858945.96286109,0.0,34.39477303988995,0.0,299512.6634799234,0.0,22.949139579349914,0.0,0.9419375660104163,0.0,141269.89462107632,0.0,-0.8838751320208328,0.0,1.0967814334773835,0.06760724052232701
0.1,3918244.9958734666,0.0,34.39477303988995,0.0,1396375.6791587,0.0,22.949139579349914,0.0,0.7372576963547359,0.0,113919.78052389566,0.0,-0.47451539270947174,0.0,0.8844425099881571,0.31519570926835966
0.2,231976.42778541963,0.0,24039.54607977991,0.0,68.84053537284898,0.0,97260.20535372847,0.0,0.9997033314410114,0.0,9.64978402735063,0.0,-0.9994066628820228,0.0,0.05236268131898321,1.553897113585627e-05
0.5,0.0,0.0,1001168.4786795366,0.0,0.0,0.0,3172163.6225621514,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
