dominance,dl_scale,sl_scale,tpn_e_signal_auc,tpn_o_signal_auc,preference_index
-1.0,0.0,2.0,75452.80497131923,1500150000.0,-0.9998994113786962
-0.5,0.5,1.5,181650.43250478018,396713.03438789595,-0.37184679564662715
0.0,1.0,1.0,1500150000.0,64208.84181568072,0.9999144004350349
0.5,1.5,0.5,1500150000.0,10345.733149931206,0.9999862071635484
1.0,2.0,0.0,1500150000.0,3924.6299862448377,0.9999947676969385
